Family,Seed,n,m,Binary,gb_total_time,normalform_time,total_time,solver_time,pareto_size,gb_times,gb_sizes,num_ips
A,1,10,1,true,0.9535698619999999,0.154617423,2.777194023132324,0.0,1,"[0.555334381, 0.398235481]","[72, 0]",1
A,2,10,1,true,0.046849932,2.7873999999999998e-5,0.05634498596191406,0.0,5,"[0.005109194, 0.041740738]","[101, 154]",5
A,3,10,1,true,0.13918857499999998,1.9843e-5,0.14873695373535156,0.0,4,"[0.006856186, 0.132332389]","[154, 216]",4
A,4,10,1,true,0.046537034,2.2201e-5,0.05731201171875,0.0,6,"[0.007673342, 0.038863692]","[80, 180]",6
A,5,10,1,true,0.042823416999999996,1.8694e-5,0.052253007888793945,0.0,4,"[0.005724319, 0.037099098]","[123, 178]",4
A,6,10,1,true,0.035541789000000004,6.057e-6,0.04469490051269531,0.0,1,"[0.004917663, 0.030624126]","[105, 0]",1
A,7,10,1,true,0.130954005,9.322e-6,0.14008402824401855,0.0,4,"[0.005897396, 0.125056609]","[101, 40]",4
A,8,10,1,true,0.042845763,1.6031e-5,0.05105781555175781,0.0,4,"[0.006818375, 0.036027388]","[117, 171]",4
A,9,10,1,true,0.038830607,1.7281e-5,0.047247886657714844,0.0,5,"[0.004336796, 0.034493811]","[78, 155]",5
A,10,10,1,true,0.035689157,1.3349e-5,0.04461097717285156,0.0,5,"[0.006930195, 0.028758962]","[100, 57]",5
A,11,10,1,true,0.038112358,6.725e-6,0.04662895202636719,0.0,1,"[0.005418918, 0.03269344]","[113, 1]",1
A,12,10,1,true,0.129857277,1.3406e-5,0.1405179500579834,0.0,4,"[0.005788622, 0.124068655]","[83, 89]",4
A,13,10,1,true,0.042601328,3.1003e-5,0.05314898490905762,0.0,6,"[0.004783957, 0.037817371]","[98, 168]",6
A,14,10,1,true,0.039609895,2.3573000000000003e-5,0.04927206039428711,0.0,6,"[0.006024984, 0.033584911]","[100, 151]",6
A,15,10,1,true,0.040377345,1.397e-5,0.051444053649902344,0.0,3,"[0.006525338, 0.033852007]","[142, 173]",3
A,16,10,1,true,0.13911463400000001,2.0169000000000003e-5,0.1499171257019043,0.0,6,"[0.00518773, 0.133926904]","[115, 181]",6
A,17,10,1,true,0.039343419,5.908e-6,0.04881596565246582,0.0,2,"[0.006802821, 0.032540598]","[123, 20]",2
A,18,10,1,true,0.035007675,5.413e-6,0.04467916488647461,0.0,1,"[0.005132694, 0.029874981]","[97, 0]",1
A,19,10,1,true,0.0413511,1.0162e-5,0.05143404006958008,0.0,2,"[0.006037366, 0.035313734]","[145, 25]",2
A,20,10,1,true,0.033301959,1.1035999999999999e-5,0.04215097427368164,0.0,4,"[0.004805578, 0.028496381]","[72, 73]",4
A,21,10,1,true,0.127943096,1.0492e-5,0.1364150047302246,0.0,2,"[0.088968018, 0.038975078]","[152, 163]",2
A,22,10,1,true,0.036946054,1.0624999999999999e-5,0.045588016510009766,0.0,3,"[0.005239961, 0.031706093]","[104, 87]",3
A,23,10,1,true,0.046354405,1.0709e-5,0.05477786064147949,0.0,2,"[0.008891365, 0.03746304]","[200, 65]",2
A,24,10,1,true,0.046212158999999996,1.868e-5,0.05525708198547363,0.0,5,"[0.00766988, 0.038542279]","[191, 150]",5
A,25,10,1,true,0.110889855,9.707e-6,0.1203470230102539,0.0,3,"[0.0051585, 0.105731355]","[86, 105]",3
A,26,10,1,true,0.0383574,1.4581e-5,0.047530174255371094,0.0,4,"[0.004894903, 0.033462497]","[109, 156]",4
A,27,10,1,true,0.058483016,2.7843e-5,0.06748509407043457,0.0,5,"[0.004381965, 0.054101051]","[79, 312]",5
A,28,10,1,true,0.036032957,9.149999999999999e-6,0.04504108428955078,0.0,2,"[0.004640673, 0.031392284]","[95, 142]",2
A,29,10,1,true,0.117405019,2.0437e-5,0.12697696685791016,0.0,4,"[0.005290494, 0.112114525]","[127, 197]",4
A,30,10,1,true,0.035068387,7.519999999999999e-6,0.04394698143005371,0.0,2,"[0.00516925, 0.029899137]","[89, 4]",2
A,1,15,1,true,0.345231719,6.177899999999999e-5,0.3571450710296631,0.0,6,"[0.090185741, 0.255045978]","[374, 835]",6
A,2,15,1,true,0.19151474999999998,2.0337e-5,0.2014470100402832,0.0,2,"[0.041310089, 0.150204661]","[499, 31]",2
A,3,15,1,true,0.148996371,1.735e-5,0.15909600257873535,0.0,2,"[0.02011732, 0.128879051]","[341, 25]",2
A,4,15,1,true,0.267419499,7.1973e-5,0.2772188186645508,0.0,4,"[0.024996864, 0.242422635]","[361, 744]",4
A,5,15,1,true,0.276575293,7.1334e-5,0.28783392906188965,0.0,6,"[0.02257374, 0.254001553]","[301, 843]",6
A,6,15,1,true,0.470077089,0.000103907,0.47946906089782715,0.0,7,"[0.092806421, 0.377270668]","[748, 1233]",7
A,7,15,1,true,0.20637237,8.490599999999998e-5,0.21851491928100586,0.0,8,"[0.021220257, 0.185152113]","[318, 676]",8
A,8,15,1,true,0.154369338,4.0557000000000005e-5,0.1646430492401123,0.0,6,"[0.026018278, 0.12835106]","[418, 309]",6
A,9,15,1,true,0.31410511799999996,9.3348e-5,0.3245999813079834,0.0,10,"[0.078539369, 0.235565749]","[408, 939]",10
A,10,15,1,true,0.153165123,4.6801e-5,0.16519689559936523,0.0,8,"[0.018252841, 0.134912282]","[212, 448]",8
A,11,15,1,true,0.358509878,0.00011694200000000002,0.3706660270690918,0.0,9,"[0.015809224, 0.342700654]","[279, 1022]",9
A,12,15,1,true,0.514564393,0.00019295399999999998,0.5263338088989258,0.0,15,"[0.0618113, 0.452753093]","[499, 1365]",15
A,13,15,1,true,0.272982343,9.859800000000001e-5,0.2840151786804199,0.0,8,"[0.056062588, 0.216919755]","[452, 750]",8
A,14,15,1,true,0.219865802,8.789500000000001e-5,0.23109722137451172,0.0,8,"[0.018394732, 0.20147107]","[220, 812]",8
A,15,15,1,true,0.373861732,0.000181117,0.3847060203552246,0.0,12,"[0.048056269, 0.325805463]","[338, 1089]",12
A,16,15,1,true,0.157859293,1.28e-5,0.16872906684875488,0.0,2,"[0.02515842, 0.132700873]","[396, 450]",2
A,17,15,1,true,2.1139303669999996,0.000420897,2.125095844268799,0.0,17,"[0.044126192, 2.069804175]","[569, 2830]",17
A,18,15,1,true,0.145040927,3.0093e-5,0.15501618385314941,0.0,4,"[0.061453772, 0.083587155]","[385, 271]",4
A,19,15,1,true,0.741715583,0.00015948900000000002,0.7524049282073975,0.0,11,"[0.06328149, 0.678434093]","[712, 1508]",11
A,20,15,1,true,0.909465759,0.000184924,0.9203510284423828,0.0,13,"[0.035115706, 0.874350053]","[474, 1966]",13
A,21,15,1,true,0.10570366199999999,5.6266000000000006e-5,0.11586785316467285,0.0,7,"[0.015738432, 0.08996523]","[235, 539]",7
A,22,15,1,true,0.14110750400000002,9.335e-6,0.15104198455810547,0.0,1,"[0.014733766, 0.126373738]","[292, 0]",1
A,23,15,1,true,0.089209372,1.9452000000000003e-5,0.09920978546142578,0.0,3,"[0.012609975, 0.076599397]","[217, 402]",3
A,24,15,1,true,0.562219177,0.00010738500000000002,0.5729110240936279,0.0,8,"[0.166392592, 0.395826585]","[795, 1190]",8
A,25,15,1,true,2.072967291,0.00045543600000000004,2.084954023361206,0.0,19,"[0.021919212, 2.051048079]","[319, 3092]",19
A,26,15,1,true,0.350644412,0.00018351,0.36088109016418457,0.0,12,"[0.048478474, 0.302165938]","[361, 1095]",12
A,27,15,1,true,0.112814186,3.9965999999999996e-5,0.12346792221069336,0.0,4,"[0.021953266, 0.09086092]","[329, 487]",4
A,28,15,1,true,0.431284025,0.00013936599999999998,0.44272685050964355,0.0,10,"[0.120426506, 0.310857519]","[644, 1020]",10
A,29,15,1,true,0.18189626,5.6458999999999996e-5,0.19141411781311035,0.0,6,"[0.02827895, 0.15361731]","[404, 734]",6
A,30,15,1,true,0.23753277,4.6472e-5,0.24750685691833496,0.0,6,"[0.073619218, 0.163913552]","[247, 818]",6
A,1,20,1,true,3.262351452,0.0003666579999999999,3.275341033935547,0.0,12,"[0.349052106, 2.913299346]","[1393, 3978]",12
A,2,20,1,true,3.3765441959999998,0.000335076,3.387964963912964,0.0,8,"[0.208901744, 3.167642452]","[1213, 4071]",8
A,3,20,1,true,1.565615877,0.000185567,1.5773489475250244,0.0,5,"[0.182958975, 1.382656902]","[1090, 2787]",5
A,4,20,1,true,3.393074677,0.000481069,3.4069440364837646,0.0,13,"[0.207376928, 3.185697749]","[1250, 4030]",13
A,5,20,1,true,2.5243096169999997,0.00044907500000000006,2.5375280380249023,0.0,11,"[0.235257225, 2.289052392]","[1290, 3537]",11
A,6,20,1,true,2.879075454,0.000780773,2.8936550617218018,0.0,16,"[0.106065567, 2.773009887]","[752, 3880]",16
A,7,20,1,true,0.7883759850000001,0.00016444,0.799238920211792,0.0,8,"[0.081483461, 0.706892524]","[547, 1895]",8
A,8,20,1,true,2.140434867,0.00023521600000000003,2.1528029441833496,0.0,8,"[0.254090891, 1.886343976]","[1140, 2924]",8
A,9,20,1,true,1.070024906,0.000122437,1.0819859504699707,0.0,5,"[0.169601213, 0.900423693]","[954, 1939]",5
A,10,20,1,true,3.6531615110000004,0.001681126,3.673340082168579,0.0,13,"[0.246231949, 3.406929562]","[1202, 4083]",13
A,11,20,1,true,4.328018673,0.001347307,4.34610390663147,0.0,16,"[0.27160736, 4.056411313]","[1366, 4607]",16
A,12,20,1,true,0.942820435,0.000116319,0.9567239284515381,0.0,5,"[0.129652688, 0.813167747]","[997, 1687]",5
A,13,20,1,true,1.0252295120000001,0.00030076100000000003,1.0395328998565674,0.0,9,"[0.071477072, 0.95375244]","[702, 1938]",9
A,14,20,1,true,11.502384357,0.001673101,11.520668983459473,0.0,21,"[0.182695952, 11.319688405]","[1150, 6754]",21
A,15,20,1,true,2.9012156190000002,0.000493855,2.9162940979003906,0.0,10,"[0.172510731, 2.728704888]","[1000, 3548]",10
A,16,20,1,true,1.570532961,0.00017259199999999998,1.5824029445648193,0.0,7,"[0.119061554, 1.451471407]","[825, 2780]",7
A,17,20,1,true,1.158981349,0.000192205,1.1713910102844238,0.0,8,"[0.090325309, 1.06865604]","[871, 2275]",8
A,18,20,1,true,2.695764798,0.000463143,2.708754062652588,0.0,14,"[0.13423287, 2.561531928]","[855, 3532]",14
A,19,20,1,true,1.288290058,0.000128852,1.2991549968719482,0.0,5,"[0.196239588, 1.09205047]","[1095, 2215]",5
A,20,20,1,true,49.76937975,0.0033223659999999998,49.79317498207092,0.0,27,"[1.083745749, 48.685634001]","[2291, 14186]",27
A,21,20,1,true,2.636703949,0.00036047400000000006,2.649420976638794,0.0,11,"[0.269448327, 2.367255622]","[1288, 3045]",11
A,22,20,1,true,1.709200759,0.000568503,1.721951961517334,0.0,14,"[0.077093707, 1.632107052]","[810, 2916]",14
A,23,20,1,true,1.4305843390000001,0.000267966,1.4428529739379883,0.0,8,"[0.17341602, 1.257168319]","[1062, 2844]",8
A,24,20,1,true,1.927649648,0.00035167399999999995,1.9409279823303223,0.0,8,"[0.11708005, 1.810569598]","[767, 2954]",8
A,25,20,1,true,1.152546322,0.00018782500000000003,1.1662940979003906,0.0,8,"[0.173090271, 0.979456051]","[1037, 1945]",8
A,26,20,1,true,1.3967328780000001,0.000306438,1.4092111587524414,0.0,10,"[0.077371392, 1.319361486]","[788, 2244]",10
A,27,20,1,true,1.392887759,9.4445e-5,1.4063539505004883,0.0,4,"[0.121714404, 1.271173355]","[970, 1966]",4
A,28,20,1,true,2.70063847,0.00035322699999999996,2.7130520343780518,0.0,12,"[0.302382954, 2.398255516]","[1379, 3633]",12
A,29,20,1,true,1.58207495,0.00034756800000000003,1.5944440364837646,0.0,12,"[0.128489154, 1.453585796]","[768, 2440]",12
A,30,20,1,true,6.646211391,0.000355541,6.658987045288086,0.0,10,"[0.396005399, 6.250205992]","[1591, 5474]",10
A,1,25,1,true,6.1169188089999995,0.00048096099999999996,6.131802082061768,0.0,9,"[0.68355919, 5.433359619]","[2133, 5006]",9
A,2,25,1,true,165.13903718,0.005271515,165.18464708328247,0.0,21,"[1.815170255, 163.323866925]","[3518, 24082]",21
A,3,25,1,true,9.484146879,0.000941029,9.500863075256348,0.0,13,"[0.290339505, 9.193807374]","[1546, 6382]",13
A,4,25,1,true,29.629555478,0.0022077039999999996,29.654138803482056,0.0,16,"[3.971904362, 25.657651116]","[5032, 11975]",16
A,5,25,1,true,50.903095885,0.0026466270000000004,50.92627787590027,0.0,17,"[1.858476988, 49.044618897]","[3806, 14179]",17
A,6,25,1,true,12.937565079,0.001139571,12.953192234039307,0.0,9,"[0.601559945, 12.336005134]","[2105, 8099]",9
A,7,25,1,true,20.563269034999998,0.001600545,20.58145809173584,0.0,12,"[0.502154443, 20.061114592]","[1809, 9886]",12
A,8,25,1,true,51.278763534,0.004040565999999999,51.30612897872925,0.0,21,"[0.570384252, 50.708379282]","[2065, 14303]",21
A,9,25,1,true,50.916958551,0.0029317920000000003,50.940696001052856,0.0,17,"[2.034933916, 48.882024635]","[3760, 14628]",17
A,10,25,1,true,63.257514051,0.003308203,63.2855281829834,0.0,16,"[4.660441271, 58.59707278]","[5796, 15814]",16
A,11,25,1,true,3.51074429,0.000363104,3.5241260528564453,0.0,7,"[0.663601881, 2.847142409]","[2187, 3627]",7
A,12,25,1,true,24.256857216,0.001388343,24.274526834487915,0.0,8,"[1.972672454, 22.284184762]","[3743, 10615]",8
A,13,25,1,true,15.376539771000001,0.0010065730000000002,15.392593145370483,0.0,14,"[2.930876808, 12.445662963]","[4197, 7938]",14
A,14,25,1,true,19.241115402000002,0.0023804610000000004,19.26213002204895,0.0,20,"[0.408739729, 18.832375673]","[1631, 9655]",20
A,15,25,1,true,11.178073422999999,0.00161333,11.195849895477295,0.0,20,"[0.280703131, 10.897370292]","[1452, 7583]",20
A,16,25,1,true,8.698327549,0.0010400359999999998,8.71495509147644,0.0,16,"[0.433288155, 8.265039394]","[1759, 6380]",16
A,17,25,1,true,135.474971552,0.008826632000000001,135.53314113616943,0.0,33,"[1.201890671, 134.273080881]","[3124, 22714]",33
A,18,25,1,true,8.426766502,0.00036373499999999996,8.440701961517334,0.0,8,"[1.18791004, 7.238856462]","[2910, 6266]",8
A,19,25,1,true,35.521519473,0.0020972340000000003,35.543450117111206,0.0,15,"[0.679841431, 34.841678042]","[2260, 12713]",15
A,20,25,1,true,9.876747015,0.0009258990000000002,9.892482042312622,0.0,14,"[0.645884875, 9.23086214]","[2143, 7134]",14
A,21,25,1,true,32.499258469,0.0024738250000000007,32.52200198173523,0.0,18,"[0.598667497, 31.900590972]","[2111, 11731]",18
A,22,25,1,true,9.373147842,0.000460511,9.386931896209717,0.0,6,"[0.86678919, 8.506358652]","[2521, 6942]",6
A,23,25,1,true,15.909100246,0.0012176569999999998,15.925677061080933,0.0,12,"[0.852446789, 15.056653457]","[2575, 8739]",12
