Family,Seed,n,m,Binary,gb_total_time,normalform_time,total_time,solver_time,pareto_size,gb_times,gb_sizes,num_ips
A,1,10,1,true,1.054556685,0.09374095500000001,2.008582830429077,0.0,9,"[0.264411676, 0.602787437, 0.187357572]","[86, 264, 316]",27
A,2,10,1,true,0.046228695,7.709999999999999e-6,0.053730010986328125,0.0,3,"[0.002766071, 0.017605485, 0.025857139]","[114, 88, 33]",3
A,3,10,1,true,0.059538508,5.342300000000001e-5,0.06722402572631836,0.0,14,"[0.002925308, 0.021010729, 0.035602471]","[114, 206, 213]",24
A,4,10,1,true,0.062031636,8.214399999999998e-5,0.06955218315124512,0.0,15,"[0.002894091, 0.017653056, 0.041484489]","[87, 102, 356]",27
A,5,10,1,true,0.145911392,3.3509999999999996e-5,0.15428400039672852,0.0,10,"[0.003633895, 0.108080768, 0.034196729]","[110, 175, 199]",17
A,6,10,1,true,0.038173187,5.561e-6,0.04545998573303223,0.0,1,"[0.00266695, 0.014839989, 0.020666248]","[109, 0, 0]",1
A,7,10,1,true,0.043337907,1.2503e-5,0.05050516128540039,0.0,5,"[0.002963883, 0.016640866, 0.023733158]","[132, 53, 46]",9
A,8,10,1,true,0.133912689,2.7573e-5,0.14139795303344727,0.0,8,"[0.002992306, 0.022356973, 0.10856341]","[98, 211, 143]",11
A,9,10,1,true,0.054058741,5.2732e-5,0.06155085563659668,0.0,7,"[0.002978963, 0.019055561, 0.032024217]","[136, 187, 248]",16
A,10,10,1,true,0.057581407,6.623800000000001e-5,0.06504201889038086,0.0,11,"[0.003037119, 0.019387883, 0.035156405]","[128, 162, 292]",25
A,11,10,1,true,0.149540388,9.0044e-5,0.1573340892791748,0.0,14,"[0.00319207, 0.023385158, 0.12296316]","[159, 235, 351]",30
A,12,10,1,true,0.047225083,1.9196e-5,0.054808855056762695,0.0,4,"[0.003736982, 0.01661172, 0.026876381]","[86, 92, 157]",7
A,13,10,1,true,0.045801425,2.4032e-5,0.05294394493103027,0.0,5,"[0.002670778, 0.016363926, 0.026766721]","[104, 132, 164]",9
A,14,10,1,true,0.11732303399999999,4.3620000000000006e-5,0.12460017204284668,0.0,10,"[0.002288189, 0.016846665, 0.09818818]","[75, 112, 162]",22
A,15,10,1,true,0.053933079999999994,5.2458999999999994e-5,0.0616610050201416,0.0,12,"[0.005040042, 0.018117077, 0.030775961]","[124, 128, 181]",19
A,16,10,1,true,0.045320716999999996,2.8066e-5,0.05264687538146973,0.0,9,"[0.002472763, 0.01658219, 0.026265764]","[104, 114, 146]",16
A,17,10,1,true,0.053961916,2.0831999999999996e-5,0.061341047286987305,0.0,4,"[0.002690536, 0.019852893, 0.031418487]","[118, 206, 163]",9
A,18,10,1,true,0.109002634,7.719e-6,0.1163949966430664,0.0,2,"[0.002454917, 0.084289103, 0.022258614]","[91, 40, 19]",2
A,19,10,1,true,0.056944517,7.121000000000002e-5,0.06441807746887207,0.0,15,"[0.002728906, 0.019306953, 0.034908658]","[125, 175, 232]",35
A,20,10,1,true,0.046110724000000006,1.5145000000000002e-5,0.05344200134277344,0.0,8,"[0.002438379, 0.017399351, 0.026272994]","[82, 123, 49]",9
A,21,10,1,true,0.125659353,1.1794e-5,0.13334298133850098,0.0,5,"[0.003759548, 0.092150882, 0.029748923]","[200, 36, 12]",6
A,22,10,1,true,0.059403186000000004,2.9858e-5,0.06667709350585938,0.0,7,"[0.002966762, 0.01929842, 0.037138004]","[121, 205, 268]",9
A,23,10,1,true,0.044381307999999994,8.941e-6,0.051663875579833984,0.0,4,"[0.003217737, 0.016946821, 0.02421675]","[153, 19, 11]",4
A,24,10,1,true,0.11695364400000001,9.322e-6,0.1240990161895752,0.0,3,"[0.002358759, 0.015613395, 0.09898149]","[101, 104, 52]",4
A,25,10,1,true,0.041444179,1.6114999999999997e-5,0.04873204231262207,0.0,9,"[0.002566434, 0.015608609, 0.023269136]","[76, 68, 28]",13
A,26,10,1,true,0.052399087,3.1082e-5,0.05973482131958008,0.0,9,"[0.00267494, 0.018070699, 0.031653448]","[137, 179, 214]",13
A,27,10,1,true,0.046721357,1.4886e-5,0.05399203300476074,0.0,6,"[0.002986586, 0.018279759, 0.025455012]","[142, 167, 24]",9
A,28,10,1,true,0.123294597,1.7424999999999997e-5,0.13094401359558105,0.0,6,"[0.002115898, 0.095993579, 0.02518512]","[69, 112, 50]",10
A,29,10,1,true,0.062931462,4.2281000000000004e-5,0.07053303718566895,0.0,11,"[0.00349616, 0.0235116, 0.035923702]","[163, 253, 242]",18
A,30,10,1,true,0.051489722,3.343e-5,0.05884909629821777,0.0,7,"[0.002797808, 0.018656264, 0.03003565]","[110, 153, 163]",13
