Family,Seed,n,m,Binary,gb_total_time,normalform_time,total_time,solver_time,pareto_size,gb_times,gb_sizes,num_ips
A,1,10,1,true,0.969633446,0.09478064000000003,1.9364168643951416,0.0,9,"[0.269335266, 0.65471348, 0.0455847]","[86, 264, 316]",27
A,2,10,1,true,0.050160598,8.181e-6,0.05817103385925293,0.0,3,"[0.002701671, 0.017762025, 0.029696902]","[114, 88, 33]",3
A,3,10,1,true,0.060992318000000004,5.422799999999998e-5,0.06914210319519043,0.0,14,"[0.002867316, 0.02172288, 0.036402122]","[114, 206, 213]",24
A,4,10,1,true,0.139095557,8.931799999999999e-5,0.14745593070983887,0.0,15,"[0.002796085, 0.093806008, 0.042493464]","[87, 102, 356]",27
A,5,10,1,true,0.055719816,3.4501999999999996e-5,0.0635230541229248,0.0,10,"[0.002922727, 0.019237941, 0.033559148]","[110, 175, 199]",17
A,6,10,1,true,0.115019518,6.095e-6,0.12274599075317383,0.0,1,"[0.002998991, 0.016934784, 0.095085743]","[109, 0, 0]",1
A,7,10,1,true,0.044710202000000004,1.3080000000000002e-5,0.05200386047363281,0.0,5,"[0.003187507, 0.017141321, 0.024381374]","[132, 53, 46]",9
A,8,10,1,true,0.053981506,2.9604999999999995e-5,0.06126594543457031,0.0,8,"[0.002658454, 0.020129303, 0.031193749]","[98, 211, 143]",11
A,9,10,1,true,0.058624043,5.4758e-5,0.06628298759460449,0.0,7,"[0.002861511, 0.019695867, 0.036066665]","[136, 187, 248]",16
A,10,10,1,true,0.137791592,6.565299999999998e-5,0.1460099220275879,0.0,11,"[0.003860228, 0.09694466, 0.036986704]","[128, 162, 292]",25
A,11,10,1,true,0.071338425,9.684899999999998e-5,0.07927703857421875,0.0,14,"[0.003385704, 0.023805941, 0.04414678]","[159, 235, 351]",30
A,12,10,1,true,0.044013,1.993e-5,0.05139803886413574,0.0,4,"[0.002499436, 0.015516621, 0.025996943]","[86, 92, 157]",7
A,13,10,1,true,0.11452716800000001,2.7387e-5,0.12298703193664551,0.0,5,"[0.069693792, 0.017880406, 0.02695297]","[104, 132, 164]",9
A,14,10,1,true,0.047699597999999996,4.6575e-5,0.05514883995056152,0.0,10,"[0.002324848, 0.016616552, 0.028758198]","[75, 112, 162]",22
A,15,10,1,true,0.050941743,5.4307999999999996e-5,0.05880904197692871,0.0,12,"[0.002683296, 0.017626334, 0.030632113]","[124, 128, 181]",19
A,16,10,1,true,0.12779083,2.8674000000000004e-5,0.13509106636047363,0.0,9,"[0.0024052, 0.016218192, 0.109167438]","[104, 114, 146]",16
A,17,10,1,true,0.055130819000000005,2.2266e-5,0.0625910758972168,0.0,4,"[0.002824617, 0.020185593, 0.032120609]","[118, 206, 163]",9
A,18,10,1,true,0.039287501,8.472e-6,0.04639315605163574,0.0,2,"[0.0027, 0.015230624, 0.021356877]","[91, 40, 19]",2
A,19,10,1,true,0.056289065,7.363999999999999e-5,0.06357002258300781,0.0,15,"[0.00274934, 0.018910099, 0.034629626]","[125, 175, 232]",35
A,20,10,1,true,0.13055081200000002,1.6723999999999998e-5,0.13857412338256836,0.0,8,"[0.002908592, 0.099594416, 0.028047804]","[82, 123, 49]",9
A,21,10,1,true,0.05233057,1.1898e-5,0.0599370002746582,0.0,5,"[0.003866122, 0.020783722, 0.027680726]","[200, 36, 12]",6
A,22,10,1,true,0.060871234999999996,3.1625e-5,0.06833291053771973,0.0,7,"[0.002918167, 0.019490192, 0.038462876]","[121, 205, 268]",9
A,23,10,1,true,0.129941566,1.0437e-5,0.13768410682678223,0.0,4,"[0.003152581, 0.016994001, 0.109794984]","[153, 19, 11]",4
A,24,10,1,true,0.044642782,1.058e-5,0.052288055419921875,0.0,3,"[0.003385862, 0.016693402, 0.024563518]","[101, 104, 52]",4
A,25,10,1,true,0.042686695000000004,1.6765e-5,0.050195932388305664,0.0,9,"[0.002569046, 0.015990896, 0.024126753]","[76, 68, 28]",13
A,26,10,1,true,0.053972833,3.2781e-5,0.06165003776550293,0.0,9,"[0.002672288, 0.018661475, 0.03263907]","[137, 179, 214]",13
A,27,10,1,true,0.13530509,1.5719e-5,0.1428661346435547,0.0,6,"[0.002937889, 0.017989474, 0.114377727]","[142, 167, 24]",9
A,28,10,1,true,0.045080889,1.9839e-5,0.05302000045776367,0.0,6,"[0.002394889, 0.017063138, 0.025622862]","[69, 112, 50]",10
A,29,10,1,true,0.06566628099999999,4.4606000000000006e-5,0.07379698753356934,0.0,11,"[0.00360954, 0.024398612, 0.037658129]","[163, 253, 242]",18
A,30,10,1,true,0.053307435,3.5561999999999996e-5,0.06144380569458008,0.0,7,"[0.002938776, 0.019420531, 0.030948128]","[110, 153, 163]",13
A,1,15,1,true,0.42793786,0.0011199670000000001,0.5200212001800537,0.0,38,"[0.012205136, 0.06224556, 0.353487164]","[420, 670, 1763]",100
A,2,15,1,true,1.779303764,0.0034815459999999986,1.7951300144195557,0.0,66,"[0.013038587, 0.431492758, 1.334772419]","[385, 2187, 3729]",282
A,3,15,1,true,0.150175758,0.000290612,0.16141200065612793,0.0,22,"[0.034660902, 0.03913723, 0.076377626]","[231, 365, 636]",54
A,4,15,1,true,0.5958571930000001,0.0005915950000000002,0.6080288887023926,0.0,24,"[0.014019428, 0.253559501, 0.328278264]","[489, 1278, 1494]",67
A,5,15,1,true,0.7270868500000001,0.0019017719999999993,0.7411389350891113,0.0,30,"[0.028643139, 0.191516704, 0.506927007]","[707, 1199, 2445]",111
A,6,15,1,true,0.213675733,8.822400000000001e-5,0.2246079444885254,0.0,13,"[0.020631795, 0.096953014, 0.096090924]","[605, 426, 459]",30
A,7,15,1,true,0.23205758599999998,0.00019909900000000003,0.24246692657470703,0.0,16,"[0.006915749, 0.110063072, 0.115078765]","[293, 528, 881]",37
A,8,15,1,true,0.18506568099999998,5.508e-5,0.19624900817871094,0.0,6,"[0.056173144, 0.051541614, 0.077350923]","[249, 565, 318]",13
A,9,15,1,true,0.382061686,0.0006242999999999999,0.39445996284484863,0.0,25,"[0.070122983, 0.064753911, 0.247184792]","[373, 664, 1403]",93
A,10,15,1,true,0.359380083,0.0005052079999999998,0.3710448741912842,0.0,21,"[0.016002513, 0.123933887, 0.219443683]","[459, 890, 1344]",60
A,11,15,1,true,0.237399078,0.00015395800000000002,0.2482900619506836,0.0,16,"[0.013376682, 0.054905317, 0.169117079]","[365, 533, 1035]",30
A,12,15,1,true,0.41643310099999997,0.000519696,0.4686319828033447,0.0,18,"[0.00909596, 0.076386472, 0.330950669]","[298, 711, 1736]",52
A,13,15,1,true,0.259722001,0.00039694800000000005,0.270902156829834,0.0,17,"[0.011169468, 0.046633566, 0.201918967]","[256, 407, 1235]",40
A,14,15,1,true,0.940851077,0.001317548,0.9951441287994385,0.0,34,"[0.013757714, 0.292006185, 0.635087178]","[439, 1723, 2548]",122
A,15,15,1,true,0.185160156,0.000417116,0.19658684730529785,0.0,37,"[0.009164391, 0.072628989, 0.103366776]","[236, 391, 769]",94
A,16,15,1,true,0.369897851,0.00028364199999999997,0.38098883628845215,0.0,15,"[0.009334661, 0.109084355, 0.251478835]","[345, 654, 1306]",38
A,17,15,1,true,1.2636032080000001,0.0036408510000000005,1.2794020175933838,0.0,37,"[0.017012366, 0.281578969, 0.965011873]","[513, 1695, 3546]",162
A,18,15,1,true,0.180662623,0.00018966100000000004,0.19157695770263672,0.0,17,"[0.010030106, 0.077711089, 0.092921428]","[219, 440, 692]",41
A,19,15,1,true,0.662624132,0.0006324310000000001,0.67523193359375,0.0,26,"[0.022565551, 0.186471756, 0.453586825]","[599, 1179, 2103]",74
A,20,15,1,true,0.6968192449999999,0.0008766349999999998,0.709104061126709,0.0,31,"[0.015145048, 0.210722452, 0.470951745]","[409, 1464, 2158]",105
A,21,15,1,true,0.547800004,0.001003456,0.5628800392150879,0.0,21,"[0.010155638, 0.127501318, 0.410143048]","[281, 709, 1726]",75
A,22,15,1,true,0.157276927,0.00010907299999999999,0.16767001152038574,0.0,12,"[0.014622243, 0.053925787, 0.088728897]","[447, 514, 457]",28
A,23,15,1,true,0.32960254499999997,0.000333321,0.3409130573272705,0.0,25,"[0.008703751, 0.075275196, 0.245623598]","[295, 699, 1005]",72
A,24,15,1,true,0.299013582,0.00048246500000000006,0.31040501594543457,0.0,24,"[0.008137271, 0.05915877, 0.231717541]","[353, 585, 1145]",56
A,25,15,1,true,1.387281874,0.00048208999999999996,1.3991658687591553,0.0,22,"[0.012702731, 0.542992112, 0.831587031]","[357, 2162, 2734]",60
A,26,15,1,true,0.189771472,3.7472e-5,0.19925785064697266,0.0,6,"[0.011217345, 0.045662552, 0.132891575]","[320, 491, 80]",9
A,27,15,1,true,0.19751363900000002,0.00013082800000000002,0.20680785179138184,0.0,12,"[0.004626968, 0.034087258, 0.158799413]","[152, 370, 577]",36
A,28,15,1,true,0.662932963,0.0016546089999999998,0.6756441593170166,0.0,35,"[0.014503229, 0.170639231, 0.477790503]","[481, 1312, 2076]",134
A,29,15,1,true,0.26202690500000003,0.000532728,0.2729189395904541,0.0,21,"[0.009295675, 0.05259886, 0.20013237]","[222, 603, 985]",66
A,30,15,1,true,0.6013570319999999,0.0008818489999999998,0.6129848957061768,0.0,28,"[0.0088348, 0.073801227, 0.518721005]","[337, 645, 2422]",82
